district,incumbent_vote,incumbent_spend,challenger_spend,total_spend,incumbent_party,presidential_margin,incumbent_tenure,primary_challenge
1,52.78615909861401,683202.667297652,318916.1328572433,1002118.8001548953,Democrat,-7.782740562199761,11,TRUE
2,52.64847928425297,359457.04153336206,50000,409457.04153336206,Democrat,-35.01706279062044,27,FALSE
3,57.14596359990537,4622726.800235807,253581.65163374745,4876308.451869555,Republican,-2.3849842091287585,19,FALSE
4,65.54819358512759,619515.6380602834,155902.6499913242,775418.2880516076,Republican,-0.44545582319863897,16,FALSE
5,55.56955369422212,646794.813249913,750107.5269104382,1396902.3401603512,Democrat,-8.447935845507699,5,FALSE
6,53.24317960301414,1722802.6598813776,57192.3131591077,1779994.9730404853,Republican,-9.053707725187616,4,TRUE
7,67.83193445997313,639427.2490335167,463046.4260417724,1102473.675075289,Democrat,3.7627835173832183,30,TRUE
8,44.950321034993976,822848.9750826944,162331.42179220656,985180.396874901,Democrat,-6.701398417023652,5,FALSE
9,51.644550354685634,916647.4348560534,77990.69282394886,994638.1276800022,Democrat,-26.4868400488231,5,FALSE
10,40.80926808528602,526918.5964986454,289818.2286571301,816736.8251557755,Democrat,10.075319049611526,28,FALSE
11,49.99193247174844,100000,110778.01772662051,210778.0177266205,Democrat,-29.705880856966658,29,FALSE
12,44.97628282755613,2354123.4489508476,302432.43832749524,2656555.8872783426,Republican,-16.532808031099016,28,FALSE
13,49.518207882065326,579398.0271062782,115118.7895514619,694516.8166577402,Democrat,-11.490149265206078,17,FALSE
14,64.85342054395005,252634.08156047607,174496.46205718542,427130.54361766146,Democrat,-17.947687751988475,26,FALSE
15,59.44936362095177,276056.8155265543,575545.9512344508,851602.7667610052,Democrat,6.388453587723869,13,FALSE
16,52.30313833570108,1089323.5473155195,178947.1491627518,1268270.6964782714,Republican,31.934025448505242,2,FALSE
17,45.51903133513406,772921.9306158054,146919.78488869124,919841.7155044967,Democrat,10.22661828148243,29,FALSE
18,48.14980042167008,100000,218893.60922620608,318893.6092262061,Republican,-8.245939838482627,14,FALSE
19,59.49076595483348,644907.3626072496,182949.8366729162,827857.1992801658,Republican,-7.114922546286562,13,FALSE
20,57.59014767361805,653394.4658261494,50000,703394.4658261494,Democrat,0.8618483666358063,16,FALSE
21,51.27127144718543,3015516.75315607,256934.66264667624,3272451.4158027465,Republican,6.6362093506019475,17,FALSE
22,53.430162037257105,109105.00821890462,130771.04935992546,239876.05757883008,Democrat,-3.6469461261264735,29,FALSE
23,63.098759702406824,1540974.3468222688,289616.911238214,1830591.2580604828,Republican,-4.347566042354052,26,TRUE
24,62.483084285631776,1632348.0565347786,52886.50226890215,1685234.5588036808,Democrat,8.651585048563026,27,FALSE
25,69.6193640655838,1019496.8671238746,92791.85291709386,1112288.7200409684,Republican,-19.75573737304162,7,FALSE
26,67.03670743154362,1414660.988455677,126669.58856151928,1541330.5770171962,Democrat,-26.247629364901236,14,FALSE
27,62.579091030638665,298069.2065669384,217713.38935184063,515782.595918779,Democrat,-4.040770800257041,2,FALSE
28,47.05512784887105,508152.2937095261,50000,558152.2937095261,Republican,0.021940309717067827,28,FALSE
29,41.25928736058995,149317.77173206536,276702.82215224986,426020.5938843152,Republican,-17.875913248667636,6,FALSE
30,55.1491280272603,117443.57991861706,173089.95447422998,290533.53439284704,Republican,-17.099706764020965,5,FALSE
31,55.44725057203323,389061.7448040567,407545.81684285303,796607.5616469097,Republican,-0.3643540704643182,5,FALSE
32,60.6262444332242,751583.9777671813,55211.884411570536,806795.8621787518,Republican,-7.1673105069604635,16,FALSE
33,46.287156988400966,147164.43884836076,50000,197164.43884836076,Republican,-15.659282247967738,5,FALSE
34,64.12952377693728,131380.77417645243,214759.66047921628,346140.4346556687,Republican,-4.003963176778978,11,TRUE
35,52.98103466629982,772851.0651395632,78500.30346958138,851351.3686091446,Democrat,-3.458846237250038,27,FALSE
36,48.90972082037479,3722879.0044422694,268488.0696990424,3991367.074141312,Republican,-5.136761896307364,12,FALSE
37,42.78894368093461,1664178.2126041993,952878.3858947188,2617056.598498918,Democrat,-4.437214564653372,4,FALSE
38,65.28996211010963,239659.2620897188,459850.9053413728,699510.1674310917,Republican,1.0217063715865564,19,FALSE
39,61.25376917188987,219194.26566012242,140396.73027859957,359590.995938722,Democrat,-25.530280881848896,12,FALSE
40,44.468587124720216,192282.52218610948,58678.48814543671,250961.0103315462,Democrat,-0.26518195684378254,2,FALSE
41,55.097866989672184,100000,1328625.6156137243,1428625.6156137243,Republican,6.676755452304734,6,FALSE
42,59.95631691766903,571794.0155546633,106575.26333971601,678369.2788943793,Democrat,-10.792759002410955,16,FALSE
43,52.03309672418982,359513.0900158062,84409.79819995587,443922.8882157621,Democrat,27.1010192360916,18,FALSE
44,54.98992493841797,489540.40823994775,50000,539540.4082399477,Republican,-13.241720360921825,20,FALSE
45,61.543107049074024,438928.60423582623,143916.07461225352,582844.6788480798,Republican,-15.025083882251241,16,FALSE
46,66.03870195103809,2063339.896707498,181381.7538936502,2244721.650601148,Democrat,16.80221075063483,26,FALSE
47,60.73425018694252,148969.03157301137,76097.24773070667,225066.27930371804,Republican,-3.762616803740335,29,FALSE
48,57.400871608406305,118974.28715650807,586576.1111220137,705550.3982785217,Democrat,17.34945251121068,8,FALSE
49,50.93979691155255,302229.60299461946,242492.4492893816,544722.052284001,Republican,18.96857699604099,5,FALSE
50,42.16052010888234,533222.1587080988,180839.76375028145,714061.9224583802,Democrat,-1.939178507031714,19,FALSE
51,46.53927417239174,2296549.2579386416,54283.72370067471,2350832.9816393163,Democrat,18.52411378784379,10,FALSE
52,56.41260424396023,513229.8629021788,80733.94013457964,593963.8030367584,Democrat,-13.95769631365178,16,FALSE
53,63.903806095477194,280762.43245200586,140151.0990556373,420913.5315076432,Democrat,9.669361465189462,12,FALSE
54,50.257250315044075,226234.77097277646,52581.99741414327,278816.76838691975,Republican,0.3227396180005386,8,TRUE
55,55.40257139597088,173169.82617680542,97596.87882891487,270766.70500572026,Republican,-1.966889166498425,12,FALSE
56,54.16653398890048,361373.36161097535,53668.352152770945,415041.7137637463,Democrat,5.224231737215474,5,FALSE
57,45.882100253365934,550260.2333773461,738038.4438773121,1288298.6772546582,Democrat,-3.4862706399763264,28,FALSE
58,61.13313124747947,1164102.5099764245,50000,1214102.5099764245,Democrat,-3.3840292970487935,11,FALSE
59,43.019375239964575,291139.55291317776,50000,341139.55291317776,Republican,-5.836673501743903,20,FALSE
60,41.99245590949431,3278872.3536012704,263192.42177602503,3542064.7753772954,Democrat,-6.816258216803744,26,FALSE
61,59.40382060594857,402409.8658858351,70401.04969824692,472810.915584082,Republican,-26.48734505391633,5,FALSE
62,66.68447660747916,421538.6064592255,397096.1443741004,818634.7508333259,Democrat,-12.520058185790528,3,TRUE
63,64.83419418334961,334900.20990347734,340349.72861850157,675249.9385219789,Republican,11.634847432633874,3,FALSE
64,46.46316631697118,354981.6011017923,50000,404981.6011017923,Democrat,-18.121343765311163,8,FALSE
65,62.82356865471229,201985.9596550331,68049.62301311184,270035.58266814495,Republican,13.417525495680264,17,TRUE
66,64.28758130408823,113976.35980070454,157446.22620492603,271422.58600563055,Democrat,-15.420271945352134,10,TRUE
67,54.987046474125236,2030626.9990325295,130536.81754335483,2161163.8165758844,Democrat,-10.937579828234352,13,FALSE
68,69.62241686647758,1183301.1652504643,244245.26916005037,1427546.4344105148,Democrat,-1.317500340418994,24,FALSE
69,66.56863197218627,267936.7665091901,50000,317936.7665091901,Republican,-15.693540878925884,4,TRUE
70,69.06194200972095,768880.7089382908,165329.76940194605,934210.4783402369,Democrat,5.009632333063497,12,FALSE
71,48.39783709263429,558890.9018364166,53714.26891331086,612605.1707497274,Democrat,-1.160867482335786,28,FALSE
72,55.7801276515238,184636.22964850249,149921.7869763844,334558.0166248869,Republican,-2.7479094024444923,18,FALSE
73,46.579799766186625,212583.70902719686,538528.3883873997,751112.0974145966,Republican,8.682607133707977,28,FALSE
74,48.49631125340238,122325.60151437458,140174.27017299162,262499.87168736616,Republican,-0.6304173999025509,3,TRUE
75,55.28640727745369,503361.5273031377,2983255.4084956925,3486616.9357988304,Republican,-4.248636845271246,17,FALSE
76,63.22261249180883,2342298.5976194427,617537.2610886063,2959835.858708049,Republican,3.5066066361928785,18,FALSE
77,60.48237745417282,100000,1561426.0221472,1661426.0221472,Democrat,-13.490437474619007,27,FALSE
78,48.43974614050239,100000,681785.7161264408,781785.7161264408,Republican,-24.265060418709126,13,FALSE
79,69.73935918882489,474411.43952819525,104663.6767314398,579075.1162596351,Democrat,16.821441621812173,15,FALSE
80,62.58750667795539,200729.67513539165,108313.83318481526,309043.5083202069,Republican,22.2276967291383,15,FALSE
81,58.51464815204963,142844.17587296487,145253.47620092868,288097.6520738936,Republican,4.64672477437593,8,FALSE
82,40.20283900434151,286414.4954905166,110918.23326485688,397332.7287553735,Democrat,-5.032431549101877,23,FALSE
83,64.26166925113648,1625713.9443882566,3475023.5971161067,5100737.5415043635,Republican,-8.12920079216374,24,FALSE
84,62.54038721555844,585464.9947241149,591660.5309369385,1177125.5256610534,Democrat,-19.553704847686646,10,FALSE
85,60.225872728042305,154324.29877931718,154996.11046448883,309320.40924380603,Democrat,-6.163104632735129,15,FALSE
86,44.94070639833808,596675.9198848989,93956.15408160743,690632.0739665064,Republican,24.676656477059055,20,FALSE
87,62.75450961664319,230199.71775813412,219152.06312190124,449351.78088003537,Democrat,-22.403961962355282,6,FALSE
88,58.03242827299982,163354.22465527157,50000,213354.22465527157,Republican,12.45338357593612,17,FALSE
89,45.77859915792942,292365.0466949576,87407.9628501846,379773.0095451422,Republican,5.647062882257885,1,FALSE
90,61.385002059396356,535063.5484082993,263202.58902412787,798266.1374324271,Democrat,12.101065218229584,22,FALSE
91,43.42067644931376,259273.01742834356,63508.538441590325,322781.5558699339,Republican,-14.220925972373314,23,FALSE
92,42.06284234765917,100000,266007.7931399719,366007.7931399719,Democrat,6.98374709039737,3,FALSE
93,45.652464549057186,417762.3046474301,80657.0502451151,498419.35489254515,Democrat,23.551013519816053,11,TRUE
94,61.78516909247264,914376.7037056223,163054.85109092479,1077431.5547965472,Democrat,8.420137319544034,8,FALSE
95,42.64231786830351,2167091.607964422,403746.58689039125,2570838.194854813,Republican,-6.399081619701723,16,FALSE
96,64.89392414921895,584835.5488867137,65010.574469719344,649846.123356433,Republican,-9.058128274429505,12,FALSE
97,55.16988883493468,1289340.3874656165,218080.968809938,1507421.3562755545,Democrat,-9.421729713798097,16,FALSE
98,40.09741120971739,208586.14142645543,50000,258586.14142645543,Democrat,-15.788463557615506,9,FALSE
99,55.63030732097104,2517546.701477219,307373.8338606336,2824920.5353378523,Republican,-36.13213037028515,8,FALSE
100,60.27457861928269,863864.8696515263,126870.29254293306,990735.1621944593,Democrat,-6.995610876768169,8,TRUE
101,53.78589466679841,111136.1056769295,183717.36661911444,294853.47229604394,Democrat,7.738349420715329,30,TRUE
102,57.12216752348468,847294.8404704877,76851.75054573035,924146.5910162181,Republican,-5.170438021585906,14,FALSE
103,64.82791316928342,779865.7916610647,926343.9891771753,1706209.78083824,Republican,-3.3448839535756902,29,FALSE
104,66.70771075412631,591949.4479293856,119396.22441848491,711345.6723478705,Democrat,0.950136994578946,18,FALSE
105,42.08546555833891,205689.41690751392,77409.02265322204,283098.43956073595,Democrat,15.989487123503398,8,FALSE
106,54.231975306756794,247467.9769903931,103123.61389148653,350591.5908818796,Democrat,31.854439906989157,15,TRUE
107,59.13504002382979,485177.1779469517,101777.37725245474,586954.5551994065,Democrat,-6.523560481824802,3,FALSE
108,53.40009649284184,257086.50729944228,56937.01963238781,314023.5269318301,Republican,-1.3340593484552559,20,TRUE
109,52.77387863956392,307091.3088966753,110798.24693898478,417889.5558356601,Republican,6.506090078819662,16,TRUE
110,58.029089195188135,100000,107579.2250312574,207579.2250312574,Republican,-6.5770760121364615,1,FALSE
111,49.20202987268567,254910.52298346983,98380.72938582586,353291.2523692957,Democrat,-18.66372027332884,28,FALSE
112,41.920349553693086,224880.82060656103,86553.73305104452,311434.55365760555,Republican,-6.574671354033249,29,FALSE
113,63.703150583896786,177457.3001332222,50000,227457.3001332222,Democrat,17.56606935274175,19,TRUE
114,49.52525825705379,100000,209523.3055745784,309523.3055745784,Republican,-12.633670252745652,29,FALSE
115,68.89247618848458,184817.56170487907,211334.91271937103,396152.4744242501,Democrat,-1.7578414249345842,26,FALSE
116,60.67270539235324,398943.51867713337,100938.88750151671,499882.4061786501,Democrat,0.0469234652685811,17,FALSE
117,58.504972194787115,173956.65938704312,50000,223956.65938704312,Republican,-20.666235812505576,25,FALSE
118,66.67945943074301,754590.3371693693,50000,804590.3371693693,Democrat,8.597329581646965,23,FALSE
119,65.13455054722726,308951.65139665466,741744.7867968461,1050696.4381935007,Democrat,-3.951200591444203,26,FALSE
120,57.92682354338467,1688721.5862803143,50000,1738721.5862803143,Democrat,8.803872716449321,26,FALSE
121,59.994154365267605,593470.7319414945,274803.2307811064,868273.9627226009,Republican,13.239838005080001,29,FALSE
122,43.98605356691405,1198899.7023763221,422312.3900886743,1621212.0924649965,Democrat,12.411668130188048,18,FALSE
123,65.47052156180143,195484.66022775546,50000,245484.66022775546,Democrat,1.8712637265408598,22,FALSE
124,44.713050527498126,420297.86080699816,50000,470297.86080699816,Republican,22.59531639357653,11,FALSE
125,52.54045232431963,342620.45535244176,50000,392620.45535244176,Republican,7.181789599525864,24,FALSE
126,63.06939071509987,551741.5951696038,50000,601741.5951696038,Republican,-0.6822634938274864,6,FALSE
127,50.485503759700805,536806.1985693017,116103.35973394218,652909.558303244,Republican,17.140483282589756,27,FALSE
128,68.2559409388341,1141247.735274179,95206.31806918936,1236454.0533433682,Democrat,24.865430401123774,1,FALSE
129,56.55771731864661,340578.4222951803,84810.1073167167,425388.529611897,Republican,24.33972799947474,15,FALSE
130,44.596836641430855,534537.4947314636,1933081.8738837426,2467619.3686152063,Republican,6.933894488777543,3,FALSE
131,56.12367254681885,352245.3125978984,414623.7615858801,766869.0741837785,Democrat,27.76419339153995,26,FALSE
132,49.66547792777419,217140.50284474134,347094.9964415935,564235.4992863348,Democrat,15.187178339508357,18,TRUE
133,56.96369983488694,387080.20630311785,446462.17079549056,833542.3770986084,Republican,2.7944019514492293,20,FALSE
134,55.35637094639242,100000,238955.14397461215,338955.1439746121,Republican,-15.451638184839894,4,TRUE
135,67.1283408277668,578451.6075025006,467304.1010417254,1045755.708544226,Republican,3.0289435192718543,13,FALSE
136,67.57736458443105,548994.1230630089,89246.69719931389,638240.8202623228,Republican,6.856605673133833,10,FALSE
137,62.14285892434418,481724.2959174255,134148.7533884323,615873.0493058577,Republican,-7.375650359341272,16,FALSE
138,44.00580731686205,1061801.7602217253,70615.85851081635,1132417.6187325418,Republican,-0.24717494602246257,6,FALSE
139,46.8157355254516,100000,285378.3306187318,385378.3306187318,Democrat,16.565685117383225,8,TRUE
140,48.29373064218089,100000,226874.33050123928,326874.3305012393,Republican,-25.413235659122673,23,FALSE
141,41.21334042167291,1053746.600786059,469162.4319948571,1522909.032780916,Democrat,-6.6706301314282435,26,FALSE
142,53.68602093774825,256066.66745621007,50000,306066.66745621007,Republican,31.215774518619806,20,FALSE
143,68.71463741874322,241031.01744018373,151166.2669821673,392197.28442235105,Democrat,9.38498770886605,13,FALSE
144,52.806141080800444,100000,561186.0353653044,661186.0353653044,Democrat,-3.492666182562788,18,FALSE
145,69.06163706211373,117226.60509713257,197954.4786293147,315181.08372644725,Democrat,14.841124977027476,8,FALSE
146,68.82215921534225,1097012.336935826,67997.05931930075,1165009.396255127,Republican,-10.190684227523263,24,FALSE
147,56.82431787252426,991185.604227329,492946.0893263989,1484131.693553728,Republican,38.7614644003137,23,FALSE
148,58.964427195023745,685197.994704732,112705.10565329503,797903.100358027,Republican,-3.269209094747095,24,TRUE
149,48.167611930985004,311079.9512158598,94928.4237478005,406008.37496366026,Republican,-11.416867184478281,26,TRUE
150,51.11403362127021,707048.5593767883,138948.6843035136,845997.2436803019,Republican,3.471612834253511,27,TRUE
151,62.77686402667314,100000,50000,150000,Democrat,1.8823513875664966,29,FALSE
152,64.32303586043417,124657.54142456557,419121.9747793266,543779.5162038922,Democrat,-4.445283955476224,12,TRUE
153,68.4062958881259,226035.65976311328,128904.70113793823,354940.3609010515,Democrat,-3.121530211961552,28,FALSE
154,54.11421579774469,230824.0294894998,329684.40325931984,560508.4327488197,Republican,9.729420988232242,5,FALSE
155,60.534828840754926,594183.0270263128,360953.78687164106,955136.8138979538,Republican,-1.4477136975284117,3,TRUE
156,55.206665901932865,230977.93917341414,266604.3645707273,497582.3037441414,Republican,15.774423090426868,14,TRUE
157,68.40715049300343,181026.95929052707,140605.97050729772,321632.9297978248,Republican,10.027105042226308,12,FALSE
158,65.23987974273041,510070.6452639194,120947.50160817541,631018.1468720948,Republican,-13.86805195130821,16,TRUE
159,46.345194787718356,4027076.482741542,191460.14185476946,4218536.624596312,Republican,-14.874253779933985,6,FALSE
160,60.5802270793356,1078449.0475280294,109706.61682275347,1188155.664350783,Republican,7.789270890409131,21,FALSE
161,47.84201632253826,429949.58916375035,91117.15364372174,521066.7428074721,Democrat,13.732429715206367,22,FALSE
162,58.98715974064544,1497910.9912471517,286345.7762258981,1784256.76747305,Democrat,-1.0233744310833652,6,FALSE
163,57.85063010174781,144540.39553409084,87482.08048782682,232022.47602191765,Republican,18.243760490623753,28,FALSE
164,63.258011357393116,134744.45563867484,237250.0861979513,371994.54183662613,Democrat,6.198829793576244,2,TRUE
165,63.090761641506106,2395065.2485452825,1224681.033542201,3619746.2820874834,Republican,-25.261978244461712,12,FALSE
166,50.66510268719867,2173237.490096396,50000,2223237.490096396,Republican,-3.957014001267986,14,FALSE
167,58.6183477868326,100000,395815.5151343225,495815.5151343225,Republican,-2.0702408872026408,2,FALSE
168,44.021526193246245,410148.63414107444,663932.835134755,1074081.4692758294,Republican,13.037014030808923,13,TRUE
169,44.85338789410889,125953.74141135043,3064147.7853773898,3190101.5267887404,Republican,-0.7433876747221971,30,FALSE
170,42.98296228982508,250342.1245468509,953405.7607433418,1203747.8852901927,Republican,20.162203177480247,9,FALSE
171,58.199514681473374,1199534.8396694171,66631.37563877174,1266166.215308189,Democrat,-19.051273877019355,18,FALSE
172,56.8759372504428,474441.49069867673,314307.18869693915,788748.6793956158,Republican,-11.112661613914243,6,TRUE
173,55.66486256895587,360499.30366896035,1178416.4851389676,1538915.788807928,Republican,1.6846299091705,2,FALSE
174,43.886064565740526,1198093.8722191148,70050.2672991728,1268144.1395182875,Republican,7.34132138160176,9,FALSE
175,53.12579097226262,3053462.002714115,123277.04846191459,3176739.0511760297,Republican,0.18641130396022285,8,FALSE
176,50.57578225620091,390469.8650959953,230015.7770042807,620485.642100276,Democrat,-3.1598885118127167,4,FALSE
177,59.76397153921425,308287.7751528447,526742.6136789086,835030.3888317533,Republican,12.65177292622687,25,FALSE
178,55.150889463257045,354002.7420162547,280585.99399101496,634588.7360072697,Republican,8.260755328489392,12,TRUE
179,40.408041349146515,11140583.943299402,53529.088823502956,11194113.032122904,Republican,5.876777213762467,19,FALSE
180,68.96909192437306,911204.7829466851,423333.4727723253,1334538.2557190103,Republican,-8.968837188068814,27,FALSE
181,55.837279511615634,491388.3318277363,50000,541388.3318277362,Republican,4.319144823969016,19,FALSE
182,63.0554635822773,1505982.8912122936,144980.96302925763,1650963.8542415514,Democrat,-4.174778288810187,14,TRUE
183,52.9792339541018,316533.3015961244,131781.92924109017,448315.2308372146,Republican,-12.906756148997788,23,FALSE
184,48.92292538424954,145388.12940592985,292704.3633768556,438092.49278278544,Republican,-11.353822701525631,29,FALSE
185,44.02413494186476,491552.3124946804,219887.5040398685,711439.8165345489,Republican,-5.830888585398839,15,FALSE
186,42.79641033615917,100000,1495173.8749313953,1595173.8749313953,Republican,11.605620693299267,9,FALSE
187,54.93224601028487,186431.9447458253,1117113.9381659722,1303545.8829117976,Democrat,1.308879074893758,30,TRUE
188,54.002181268297136,137527.80682470652,221831.14617435052,359358.952999057,Democrat,-4.216377174711115,28,FALSE
189,66.73912993399426,509541.49584096734,50000,559541.4958409674,Democrat,16.98522226086354,18,FALSE
190,43.98038841318339,153850.84671072516,50000,203850.84671072516,Republican,21.382232651494924,19,FALSE
191,58.97597076604143,947267.0640586616,556704.2030267379,1503971.2670853995,Democrat,-0.9018305660833961,4,FALSE
192,60.20265749655664,1661915.4248275948,107007.83786408656,1768923.2626916813,Democrat,14.158925509998635,1,FALSE
193,50.04822502611205,487190.9572281432,934125.2166641419,1421316.173892285,Democrat,-11.191040198497253,22,TRUE
194,48.41139901895076,224605.83695436383,601813.7368818745,826419.5738362384,Democrat,-1.9325647459025663,17,FALSE
195,62.6779123977758,960248.0883187561,1360936.632802658,2321184.721121414,Republican,-5.358914538583115,12,FALSE
196,64.79919960489497,528637.4466547427,50000,578637.4466547427,Democrat,19.148903774422568,12,FALSE
197,43.663574133533984,780934.2694622698,1279340.7442826894,2060275.0137449591,Democrat,9.163844922109279,18,FALSE
198,46.24902073293924,1402056.3953073637,79274.70589421722,1481331.1012015808,Democrat,-24.20251525638969,15,TRUE
199,56.91694617969915,1488406.310964196,216839.11471986686,1705245.4256840628,Republican,14.022385723479077,3,FALSE
200,69.54773623263463,100000,50000,150000,Republican,1.1560461198199838,7,FALSE
201,46.43917169421911,322533.1798754049,78382.42453149804,400915.604406903,Democrat,-3.9623110081601536,30,FALSE
202,69.42057968815789,337514.4047265716,413952.75201936124,751467.1567459328,Democrat,-15.76170060970091,14,FALSE
203,56.775235480163246,328947.57963165425,102181.27344317973,431128.853074834,Republican,12.845118446488733,29,TRUE
204,56.932658951263875,1654557.0358535883,118161.99045934039,1772719.0263129286,Democrat,6.2102983448669,18,TRUE
205,49.49528007302433,501092.9525300461,178426.09426439795,679519.0467944441,Democrat,-10.610060151905286,17,FALSE
206,45.21109152119607,384570.888991152,241998.88513830592,626569.7741294579,Democrat,23.632742767679375,18,FALSE
207,51.50298534659669,1750309.7268070532,296088.868455794,2046398.5952628471,Republican,13.337377911987897,23,FALSE
208,68.14601516351104,726354.2587575917,1073776.218400489,1800130.4771580808,Democrat,12.502593258552066,10,TRUE
209,48.25908610597253,1231812.7126061232,92776.49026543676,1324589.20287156,Republican,-1.190389717380334,24,FALSE
210,48.41886458452791,1547427.4871208991,50000,1597427.4871208991,Republican,0.5403154650534003,30,FALSE
211,62.48002371750772,939587.6564979147,1510988.7526973214,2450576.409195236,Republican,0.13944683592624627,4,FALSE
212,60.08352723903954,413540.1256806781,50000,463540.1256806781,Republican,31.986870641113004,7,FALSE
213,52.89618288632482,1155478.228858658,183040.61256232637,1338518.8414209844,Democrat,14.066093661668049,8,FALSE
214,48.80881184944883,453041.5275329485,516946.19334820315,969987.7208811516,Republican,-24.83394389255687,13,FALSE
215,60.565544695127755,408447.2052534938,1494780.8299778458,1903228.0352313395,Republican,-24.083268329201527,4,FALSE
216,41.26839253120124,1520530.6408319299,50000,1570530.6408319299,Democrat,-20.7185207511548,27,FALSE
217,56.739048953168094,328764.81261446915,83224.35609579268,411989.1687102618,Democrat,-5.330777065352643,24,TRUE
