member_id,name,party,state,chamber,ideology_score,votes_with_party,bills_sponsored,committee_leadership,tenure
1,Member 1,Democrat,IL,House,-0.024,92.2,14,0,22
2,Member 2,Democrat,VT,House,-0.287,90.7,49,0,30
3,Member 3,Democrat,OH,House,-1.451,89.6,22,0,6
4,Member 4,Democrat,KY,House,-0.294,78.6,18,0,39
5,Member 5,Republican,IN,House,0.434,84.3,41,0,38
6,Member 6,Democrat,GA,House,0.668,84.3,14,0,33
7,Member 7,Republican,AZ,House,0.123,95.9,23,1,34
8,Member 8,Republican,AZ,House,-0.646,98.8,30,0,29
9,Member 9,Democrat,DE,House,-1.407,89.4,48,2,6
10,Member 10,Republican,MN,House,-0.559,100,12,0,29
11,Member 11,Republican,MA,House,0.406,80.8,7,1,24
12,Member 12,Republican,AR,House,0.392,81.5,23,0,25
13,Member 13,Republican,TX,House,-0.856,80.2,25,1,19
14,Member 14,Republican,NY,House,1.533,75.1,1,0,15
15,Member 15,Republican,KY,House,0.797,90.6,4,0,19
16,Member 16,Democrat,OH,House,-0.926,98.8,16,0,29
17,Member 17,Republican,HI,House,1.531,90.1,34,0,34
18,Member 18,Republican,SC,House,-0.453,78.9,32,0,27
19,Member 19,Democrat,MD,House,-0.428,100,23,0,6
20,Member 20,Republican,MS,House,0.409,75.1,11,0,29
21,Member 21,Democrat,SC,House,-0.445,86.2,15,0,1
22,Member 22,Democrat,WY,House,-0.839,84,22,1,1
23,Member 23,Republican,SC,House,0.456,88,6,0,3
24,Member 24,Republican,RI,House,0.577,86.4,38,0,17
25,Member 25,Republican,CA,House,0.737,97.7,31,0,29
26,Member 26,Democrat,MO,House,-0.261,76.5,32,0,10
27,Member 27,Republican,LA,House,0.669,93,39,2,31
28,Member 28,Republican,IN,House,-0.284,94.9,43,0,29
29,Member 29,Democrat,AR,House,0.262,93.9,13,0,22
30,Member 30,Republican,TX,House,0.058,92.6,50,1,10
31,Member 31,Democrat,AK,House,-0.456,95.2,31,0,36
32,Member 32,Democrat,IN,House,-0.439,91.1,2,0,14
33,Member 33,Democrat,OK,House,-1.201,69.9,29,0,10
34,Member 34,Republican,ME,House,1.099,87.2,34,0,31
35,Member 35,Republican,MI,House,0.153,88.3,36,0,14
36,Member 36,Democrat,AZ,House,0.821,82.4,8,0,25
37,Member 37,Democrat,AR,House,-0.433,89.4,39,0,33
38,Member 38,Republican,OR,House,-0.2,95.4,42,1,11
39,Member 39,Republican,TX,House,0.599,97,7,0,7
40,Member 40,Democrat,KY,House,0.171,85.4,17,0,40
41,Member 41,Republican,CT,House,-0.333,95,5,0,38
42,Member 42,Republican,NJ,House,1.103,84.9,23,0,23
43,Member 43,Republican,AR,House,-0.382,100,8,0,28
44,Member 44,Democrat,OR,House,-0.52,90.2,37,0,3
45,Member 45,Democrat,IN,House,-0.167,78.6,48,1,11
46,Member 46,Democrat,OR,House,-0.591,86.9,40,1,20
47,Member 47,Republican,PA,House,0.334,88,10,0,32
48,Member 48,Republican,NE,House,0.053,95.8,7,1,35
49,Member 49,Democrat,WV,House,0.711,100,50,0,38
50,Member 50,Republican,TX,House,1.359,88,44,1,27
51,Member 51,Republican,AK,House,0.445,81.9,19,1,21
52,Member 52,Republican,ID,House,0.575,93.4,18,1,26
53,Member 53,Republican,NY,House,1.003,88.4,21,0,17
54,Member 54,Democrat,NJ,House,-0.624,68.1,24,0,13
55,Member 55,Republican,OK,House,0.145,96.9,8,1,27
56,Member 56,Republican,PA,House,0.826,96.6,50,0,27
57,Member 57,Republican,HI,House,0.845,96.6,9,0,34
58,Member 58,Republican,AK,House,0.201,78.7,3,3,36
59,Member 59,Republican,FL,House,-0.05,89.9,45,0,6
60,Member 60,Republican,MS,House,-0.039,89.6,31,1,13
61,Member 61,Democrat,SC,House,-1.107,83.1,16,0,2
62,Member 62,Democrat,KS,House,-0.561,79.1,16,0,2
63,Member 63,Democrat,KY,House,-0.276,84.7,41,0,14
64,Member 64,Republican,SC,House,0.506,86.9,17,0,20
65,Member 65,Republican,AZ,House,-0.739,85.2,3,2,6
66,Member 66,Republican,CT,House,0.339,84.7,31,0,22
67,Member 67,Republican,NY,House,0.062,84,24,0,25
68,Member 68,Republican,NC,House,0.25,76.5,33,0,22
69,Member 69,Republican,DE,House,0.169,89.4,16,0,12
70,Member 70,Republican,DE,House,0.904,91.6,17,0,29
71,Member 71,Republican,AK,House,0.781,95.8,46,0,36
72,Member 72,Republican,KY,House,0.063,100,35,1,7
73,Member 73,Democrat,MS,House,-0.06,97.8,44,1,27
74,Member 74,Republican,ID,House,0.715,95.7,24,2,39
75,Member 75,Democrat,MT,House,-0.613,82.1,41,2,32
76,Member 76,Republican,OK,House,0.141,95.1,21,0,37
77,Member 77,Republican,ME,House,1.318,98,36,2,9
78,Member 78,Democrat,NH,House,0.205,82.6,27,2,12
79,Member 79,Republican,AR,House,-0.05,80.8,14,0,3
80,Member 80,Republican,MI,House,0.198,85.9,13,0,23
81,Member 81,Democrat,IN,House,-0.217,93.2,31,1,17
82,Member 82,Democrat,HI,House,-0.506,86,12,2,15
83,Member 83,Republican,SC,House,-0.44,95.2,42,0,19
84,Member 84,Republican,MN,House,0.142,86.1,16,0,29
85,Member 85,Democrat,WY,House,-0.374,98.6,7,1,25
86,Member 86,Republican,AZ,House,0.934,76,37,0,35
87,Member 87,Democrat,OH,House,-0.746,87.2,44,0,14
88,Member 88,Democrat,KY,House,-0.761,90.1,7,1,34
89,Member 89,Republican,UT,House,0.74,80.8,21,0,4
90,Member 90,Democrat,VA,House,-0.578,83.5,22,1,32
91,Member 91,Republican,OR,House,-0.557,86.6,37,0,10
92,Member 92,Democrat,AZ,House,0.067,87.8,6,0,16
93,Member 93,Democrat,PA,House,-0.247,92.3,3,0,24
94,Member 94,Republican,SD,House,1.255,85.3,12,0,35
95,Member 95,Republican,TN,House,0.19,88.9,31,1,15
96,Member 96,Democrat,NY,House,0.316,100,38,0,21
97,Member 97,Republican,OR,House,0.607,94,45,0,12
98,Member 98,Republican,AR,House,0.42,81.1,22,0,37
99,Member 99,Democrat,FL,House,0.193,94.7,9,1,26
100,Member 100,Republican,NJ,House,0.026,91.4,43,0,16
101,Member 101,Republican,NV,House,-0.199,96.1,8,1,34
102,Member 102,Democrat,WA,House,-0.618,88.2,46,1,39
103,Member 103,Republican,CO,House,-0.637,88.1,19,0,34
104,Member 104,Republican,NY,House,0.575,94.4,27,0,27
105,Member 105,Republican,MT,House,0.305,92.6,48,0,2
106,Member 106,Republican,OH,House,0.175,87.3,47,0,40
107,Member 107,Democrat,WV,House,-0.212,90.5,9,1,39
108,Member 108,Republican,HI,House,0.523,86.7,43,0,24
109,Member 109,Republican,OH,House,-0.149,93.5,42,1,11
110,Member 110,Democrat,VT,House,-1.572,94.5,27,1,15
111,Member 111,Democrat,AK,House,-0.439,100,13,0,9
112,Member 112,Democrat,ID,House,-0.093,90.7,34,0,28
113,Member 113,Democrat,UT,House,-1.278,89.7,43,2,16
114,Member 114,Republican,WA,House,0.295,73.3,19,0,32
115,Member 115,Republican,NE,House,1.457,81.4,40,1,16
116,Member 116,Republican,HI,House,0.858,86.8,34,0,8
117,Member 117,Democrat,NC,House,-1.093,93.5,2,0,36
118,Member 118,Republican,NC,House,0.489,95.4,32,0,38
119,Member 119,Democrat,IL,House,-0.898,82.6,6,0,2
120,Member 120,Republican,PA,House,1.019,82.3,10,0,38
121,Member 121,Democrat,ID,House,-0.865,87.1,47,2,33
122,Member 122,Republican,IL,House,0.052,82.9,27,0,10
123,Member 123,Republican,VT,House,0.693,86.6,20,0,2
124,Member 124,Republican,OH,House,0.964,88.7,14,1,2
125,Member 125,Republican,AK,House,0.776,85.8,19,0,34
126,Member 126,Democrat,MI,House,-0.124,78.7,20,0,8
127,Member 127,Democrat,NV,House,-0.474,96.2,24,0,6
128,Member 128,Republican,SC,House,0.701,79.1,48,2,4
129,Member 129,Democrat,ME,House,0.411,92.6,9,0,14
130,Member 130,Democrat,MN,House,-0.969,84.2,35,0,19
131,Member 131,Democrat,MN,House,-0.567,79.8,12,0,7
132,Member 132,Republican,AR,House,-0.065,76.3,29,1,7
133,Member 133,Democrat,WA,House,-0.811,90.8,30,0,1
134,Member 134,Republican,OH,House,0.702,80.7,17,0,30
135,Member 135,Republican,MS,House,-0.285,88.6,37,2,36
136,Member 136,Democrat,AR,House,-0.901,98.6,45,1,19
137,Member 137,Democrat,KS,House,-0.116,88.3,49,1,12
138,Member 138,Republican,NE,House,0.113,75.3,35,0,39
139,Member 139,Republican,MD,House,0.277,97.6,43,0,34
140,Member 140,Republican,WI,House,-0.081,80,16,0,8
141,Member 141,Republican,UT,House,0.656,96.8,27,0,35
142,Member 142,Republican,IL,House,0.147,70.1,21,1,5
143,Member 143,Democrat,WV,House,-0.08,88.2,31,0,1
144,Member 144,Republican,KS,House,-0.044,93.3,29,0,16
145,Member 145,Republican,OH,House,0.38,97.2,28,0,35
146,Member 146,Democrat,DE,House,-0.241,96.3,20,0,32
147,Member 147,Republican,NE,House,1.588,90.6,24,0,31
148,Member 148,Democrat,NC,House,-0.839,73.1,37,0,30
149,Member 149,Democrat,MN,House,-0.453,98.5,10,0,11
150,Member 150,Democrat,CT,House,-0.98,94,36,0,9
151,Member 151,Democrat,FL,House,-0.833,76.3,12,0,9
152,Member 152,Democrat,AL,House,-0.362,94.8,34,1,27
153,Member 153,Democrat,NY,House,-0.8,82.7,26,2,29
154,Member 154,Republican,VT,House,0.462,100,16,0,1
155,Member 155,Republican,MA,House,0.327,81.6,25,0,26
156,Member 156,Republican,NY,House,2.068,94.8,48,1,1
157,Member 157,Republican,CO,House,-0.214,77.3,12,0,9
158,Member 158,Republican,NM,House,-0.13,84.9,31,0,28
159,Member 159,Republican,MA,House,0.047,97.4,11,0,3
160,Member 160,Republican,WV,House,1.021,95,5,0,32
161,Member 161,Democrat,AR,House,-0.236,84.3,5,1,6
162,Member 162,Republican,VA,House,0.594,97.2,30,0,36
163,Member 163,Republican,CO,House,0.3,87.5,29,2,40
164,Member 164,Republican,NC,House,1.062,84.3,9,0,4
165,Member 165,Republican,RI,House,0.985,92.6,17,0,30
166,Member 166,Democrat,NH,House,-0.53,79.6,5,0,25
167,Member 167,Republican,NH,House,0.539,89.8,7,0,5
168,Member 168,Democrat,FL,House,-0.547,90.7,4,1,22
169,Member 169,Republican,MN,House,0.449,100,44,2,22
170,Member 170,Democrat,ID,House,-0.446,88.4,32,0,11
171,Member 171,Republican,FL,House,1.112,95.5,38,3,21
172,Member 172,Democrat,OK,House,-0.889,93.1,21,2,8
173,Member 173,Democrat,OH,House,-1.396,90.9,7,0,1
174,Member 174,Democrat,KS,House,-0.166,96.1,47,1,10
175,Member 175,Democrat,VA,House,0.384,95.9,6,1,23
176,Member 176,Democrat,VA,House,0.081,98,41,0,5
177,Member 177,Republican,RI,House,-0.236,95.3,7,0,12
178,Member 178,Republican,NC,House,-0.045,88.2,25,2,34
179,Member 179,Republican,TX,House,0.767,95.1,33,0,2
180,Member 180,Democrat,DE,House,-0.53,98.2,0,2,12
181,Member 181,Democrat,CA,House,-1.035,88.4,20,0,4
182,Member 182,Democrat,RI,House,0.293,91.5,12,3,3
183,Member 183,Republican,IN,House,1.02,93.8,29,2,21
184,Member 184,Republican,NE,House,0.466,88.7,10,0,29
185,Member 185,Republican,TX,House,1.17,100,7,0,25
186,Member 186,Democrat,NM,House,-1.17,91.8,38,2,17
187,Member 187,Democrat,CT,House,-0.31,86.4,43,2,37
188,Member 188,Democrat,AL,House,-1.064,93,39,1,12
189,Member 189,Republican,OH,House,0.558,87.5,14,0,16
190,Member 190,Republican,NY,House,1.119,76.5,28,2,13
191,Member 191,Democrat,KY,House,0.013,82.4,50,1,30
192,Member 192,Republican,ND,House,0.848,100,12,2,20
193,Member 193,Republican,IA,House,0.347,100,3,0,17
194,Member 194,Democrat,AL,House,-0.623,95.6,24,0,7
195,Member 195,Democrat,WV,House,-0.131,87.7,46,2,29
196,Member 196,Republican,NV,House,-0.593,82,21,0,7
197,Member 197,Republican,MS,House,0.346,93.9,25,0,20
198,Member 198,Republican,CT,House,0.36,100,50,0,1
199,Member 199,Republican,MT,House,0.449,94.7,21,0,14
200,Member 200,Democrat,OK,House,-1.434,100,34,1,1
201,Member 201,Democrat,WV,House,-0.809,100,23,0,17
202,Member 202,Democrat,CT,House,-0.045,87.2,29,2,33
203,Member 203,Republican,CO,House,0.55,97.2,36,0,35
204,Member 204,Democrat,FL,House,-0.498,79.7,18,0,16
205,Member 205,Republican,CA,House,0.417,100,47,0,29
206,Member 206,Republican,KY,House,-0.054,98.8,8,0,16
207,Member 207,Republican,KS,House,0.265,89,41,1,12
208,Member 208,Republican,WA,House,0.695,87.1,10,1,33
209,Member 209,Democrat,WI,House,-0.28,100,24,0,11
210,Member 210,Republican,HI,House,0.73,91.1,0,0,14
211,Member 211,Democrat,NH,House,0.226,100,50,0,36
212,Member 212,Republican,MO,House,-0.034,92.3,30,0,4
213,Member 213,Republican,MO,House,-0.95,82.6,14,1,31
214,Member 214,Democrat,SC,House,-0.424,88.3,29,0,13
215,Member 215,Republican,MN,House,0.712,89.2,26,0,7
216,Member 216,Democrat,WA,House,-0.467,85.5,13,0,5
217,Member 217,Republican,TN,House,0.362,100,41,2,33
218,Member 218,Republican,CT,House,0.415,100,20,0,28
219,Member 219,Republican,RI,House,0.78,97.6,10,0,9
220,Member 220,Democrat,WA,House,-0.32,100,36,0,14
221,Member 221,Democrat,MN,House,-1.075,100,27,1,27
222,Member 222,Democrat,OK,House,-1.192,91.1,1,0,21
223,Member 223,Democrat,AL,House,-0.06,86.2,47,0,5
224,Member 224,Democrat,MS,House,-1.437,94.8,41,1,1
225,Member 225,Republican,UT,House,0.45,91,31,0,35
226,Member 226,Democrat,MN,House,-0.423,94.2,31,0,16
227,Member 227,Republican,MD,House,0.775,87,43,0,15
228,Member 228,Democrat,MT,House,-0.93,85.4,34,0,25
229,Member 229,Democrat,OR,House,-1.046,100,39,3,8
230,Member 230,Democrat,RI,House,-0.783,91.9,37,0,36
231,Member 231,Republican,SD,House,0.176,85,42,0,10
232,Member 232,Democrat,CO,House,-0.641,87.1,31,0,32
233,Member 233,Democrat,AL,House,0.139,78.7,34,0,6
234,Member 234,Democrat,SD,House,-0.794,92.1,41,0,1
235,Member 235,Republican,NY,House,1.61,81.9,18,0,38
236,Member 236,Republican,IN,House,0.021,96.2,35,0,2
237,Member 237,Democrat,OK,House,-1.014,100,22,1,3
238,Member 238,Democrat,KS,House,0.067,72,27,0,20
239,Member 239,Democrat,CT,House,-0.761,97.7,14,0,10
240,Member 240,Democrat,NH,House,-0.853,81,27,0,12
241,Member 241,Democrat,MS,House,0.032,84.9,22,0,7
242,Member 242,Republican,WI,House,0.222,91,4,1,16
243,Member 243,Republican,AK,House,0.45,92.6,31,0,1
244,Member 244,Republican,MO,House,0.455,91.8,24,0,35
245,Member 245,Republican,CT,House,0.507,82.8,38,0,7
246,Member 246,Republican,IL,House,0.385,96.4,13,0,10
247,Member 247,Republican,AZ,House,0.709,83.3,20,1,14
248,Member 248,Republican,AK,House,0.237,81.9,49,0,30
249,Member 249,Democrat,CT,House,0.116,94,17,0,1
250,Member 250,Democrat,MD,House,-0.431,94.6,7,0,19
251,Member 251,Democrat,WA,House,0.245,86.5,38,2,2
252,Member 252,Democrat,DE,House,-0.709,99.3,8,1,2
253,Member 253,Republican,ID,House,0.915,74.6,10,2,10
254,Member 254,Republican,OR,House,0.991,80.8,0,1,9
255,Member 255,Democrat,WV,House,-0.483,80.6,25,0,35
256,Member 256,Republican,ME,House,0.417,80.6,10,0,33
257,Member 257,Republican,ID,House,0.445,89.1,22,0,9
258,Member 258,Republican,FL,House,1.027,99,30,1,40
259,Member 259,Democrat,ND,House,-1.008,90.7,28,1,24
260,Member 260,Democrat,IL,House,-0.509,93,17,0,17
261,Member 261,Republican,DE,House,-0.21,94.8,20,0,39
262,Member 262,Republican,SD,House,0.813,83,29,1,34
263,Member 263,Democrat,IN,House,0.481,88.2,42,2,8
264,Member 264,Republican,DE,House,-0.118,74.1,5,2,8
265,Member 265,Republican,NY,House,0.546,81.6,32,0,39
266,Member 266,Democrat,MD,House,-0.136,83.8,27,0,32
267,Member 267,Democrat,RI,House,-0.746,100,45,0,22
268,Member 268,Democrat,RI,House,-0.84,97,30,0,35
269,Member 269,Republican,WA,House,0.805,95.3,15,2,20
