member_id,name,party,state,chamber,ideology_score,votes_with_party,bills_sponsored,committee_leadership,tenure
270,Member 270,Democrat,MN,House,-0.909,83.4,4,0,34
271,Member 271,Democrat,MT,House,-0.181,88.3,27,0,12
272,Member 272,Republican,CO,House,0.813,100,38,0,37
273,Member 273,Democrat,GA,House,0.323,83,16,0,32
274,Member 274,Republican,SD,House,-0.207,66.4,37,0,32
275,Member 275,Democrat,MT,House,-0.229,90,47,0,4
276,Member 276,Republican,WV,House,0.61,92,46,1,30
277,Member 277,Republican,MI,House,0.312,83.3,21,1,26
278,Member 278,Republican,KS,House,1.334,87.3,6,0,11
279,Member 279,Democrat,PA,House,-0.368,100,12,0,37
280,Member 280,Republican,MT,House,0.144,91.1,43,1,26
281,Member 281,Democrat,IL,House,-0.62,83.6,15,0,39
282,Member 282,Democrat,NV,House,-0.464,94.2,7,1,6
283,Member 283,Democrat,IL,House,0.543,81.8,12,0,10
284,Member 284,Republican,AR,House,0.848,87.9,9,0,7
285,Member 285,Republican,VA,House,-0.039,82.8,29,1,28
286,Member 286,Republican,NE,House,-0.145,100,20,0,27
287,Member 287,Democrat,AL,House,-0.544,82.3,30,1,40
288,Member 288,Republican,MI,House,0.34,86.6,42,0,35
289,Member 289,Democrat,FL,House,-0.423,82.1,11,0,26
290,Member 290,Republican,PA,House,0.914,92.2,23,0,7
291,Member 291,Republican,OR,House,0.678,90,3,1,21
292,Member 292,Democrat,GA,House,-0.465,95,2,0,20
293,Member 293,Democrat,PA,House,0.28,100,6,0,6
294,Member 294,Democrat,AK,House,-0.551,93,9,1,9
295,Member 295,Republican,CO,House,0.414,86.1,44,0,12
296,Member 296,Republican,NC,House,0.218,76,32,3,3
297,Member 297,Democrat,FL,House,0.445,72.2,44,0,10
298,Member 298,Republican,NE,House,0.753,87.5,23,1,6
299,Member 299,Democrat,ND,House,-0.526,79,49,1,9
300,Member 300,Republican,RI,House,0.107,100,46,0,20
301,Member 301,Republican,MA,House,0.787,87.8,42,0,11
302,Member 302,Democrat,MA,House,-0.812,89.7,33,2,16
303,Member 303,Republican,AZ,House,0.221,96.2,45,0,35
304,Member 304,Republican,HI,House,0.164,97.3,47,0,15
305,Member 305,Republican,NE,House,0.424,98.4,10,0,5
306,Member 306,Republican,TX,House,0.406,89.9,21,1,19
307,Member 307,Republican,GA,House,1.286,96.5,2,2,7
308,Member 308,Republican,KS,House,-0.074,97.9,2,2,7
309,Member 309,Republican,TN,House,0.386,88.9,42,2,23
310,Member 310,Democrat,AZ,House,-0.611,95.5,40,0,16
311,Member 311,Democrat,CA,House,-0.808,92.5,37,0,6
312,Member 312,Democrat,VT,House,-0.949,92.6,31,0,29
313,Member 313,Democrat,HI,House,0.213,92.7,15,1,31
314,Member 314,Democrat,PA,House,0.28,86.3,36,0,27
315,Member 315,Democrat,WY,House,0.017,93.5,9,2,38
316,Member 316,Republican,ME,House,0.917,88.7,6,0,8
317,Member 317,Democrat,AL,House,-0.143,89,34,0,4
318,Member 318,Republican,MD,House,-0.269,89.2,5,2,6
319,Member 319,Republican,OR,House,-0.162,100,44,0,34
320,Member 320,Democrat,FL,House,0.188,100,50,0,3
321,Member 321,Democrat,ND,House,-0.838,100,11,0,17
322,Member 322,Republican,NH,House,1.141,87.9,6,0,31
323,Member 323,Democrat,NM,House,-0.295,84.6,22,0,29
324,Member 324,Democrat,KS,House,-0.772,100,19,0,25
325,Member 325,Republican,MT,House,0.817,88.4,32,0,12
326,Member 326,Republican,MO,House,0.648,97.3,13,0,16
327,Member 327,Republican,WY,House,0.16,96.1,41,1,32
328,Member 328,Democrat,VA,House,-0.297,91.5,13,0,26
329,Member 329,Democrat,NC,House,-1.045,84.4,30,0,6
330,Member 330,Republican,MS,House,0.136,87.7,33,0,12
331,Member 331,Republican,NM,House,-0.226,74.7,10,0,13
332,Member 332,Republican,AR,House,0.527,94.2,1,0,24
333,Member 333,Republican,WY,House,-0.021,100,11,0,32
334,Member 334,Democrat,SC,House,-0.252,81.9,30,0,23
335,Member 335,Democrat,UT,House,-0.403,88.4,5,0,31
336,Member 336,Republican,IN,House,0.883,95.5,31,1,2
337,Member 337,Democrat,OR,House,0.182,87.4,22,0,20
338,Member 338,Democrat,WY,House,-0.474,83.4,50,0,9
339,Member 339,Republican,IL,House,0.234,72.9,42,0,25
340,Member 340,Republican,CT,House,0.631,98.4,48,0,27
341,Member 341,Democrat,OR,House,-0.072,85.6,41,2,10
342,Member 342,Republican,GA,House,0.988,76.3,50,2,40
343,Member 343,Democrat,NJ,House,-0.262,98.4,48,0,15
344,Member 344,Democrat,OK,House,-0.243,100,50,1,17
345,Member 345,Democrat,NM,House,-0.094,87.8,43,0,40
346,Member 346,Democrat,UT,House,-0.19,88,21,0,6
347,Member 347,Republican,ID,House,0.413,89.4,25,0,18
348,Member 348,Democrat,PA,House,-0.483,88.9,49,0,2
349,Member 349,Democrat,TX,House,-0.147,76.4,20,2,38
350,Member 350,Republican,NM,House,0.333,80.6,48,1,14
351,Member 351,Democrat,NY,House,-0.82,85.1,4,0,5
352,Member 352,Republican,MS,House,0.345,84.6,44,0,25
353,Member 353,Republican,CA,House,0.364,100,20,2,33
354,Member 354,Democrat,RI,House,-0.09,84.6,25,0,18
355,Member 355,Republican,CT,House,0.623,78.6,8,0,35
356,Member 356,Democrat,TN,House,-0.703,86.6,35,1,3
357,Member 357,Democrat,MI,House,-0.71,85.9,9,0,4
358,Member 358,Republican,UT,House,-0.047,83.1,39,0,24
359,Member 359,Republican,NC,House,0.595,91.3,21,0,25
360,Member 360,Republican,AZ,House,0.151,97,13,1,21
361,Member 361,Democrat,AL,House,-0.703,93.3,35,1,1
362,Member 362,Republican,AL,House,0.095,100,8,1,37
363,Member 363,Republican,NH,House,-0.178,86.7,50,0,20
364,Member 364,Republican,OK,House,0.824,91.1,22,0,19
365,Member 365,Republican,IL,House,0.066,89.1,34,0,4
366,Member 366,Republican,NY,House,0.3,76.4,40,1,6
367,Member 367,Democrat,KY,House,-0.405,85.8,36,0,25
368,Member 368,Democrat,AZ,House,-0.804,95,35,2,32
369,Member 369,Republican,KS,House,0.367,89.7,27,0,31
370,Member 370,Democrat,MD,House,-0.923,96.3,22,0,38
371,Member 371,Democrat,NC,House,-0.57,89.3,47,0,38
372,Member 372,Republican,MD,House,1.099,94.4,19,0,37
373,Member 373,Republican,NC,House,0.115,87.5,43,2,14
374,Member 374,Republican,UT,House,1.009,97.7,7,1,13
375,Member 375,Republican,MN,House,0.924,100,0,0,14
376,Member 376,Republican,OH,House,-0.421,100,22,0,17
377,Member 377,Democrat,MI,House,-0.36,90.3,47,0,4
378,Member 378,Democrat,IL,House,-1.097,86.7,34,0,15
379,Member 379,Republican,CT,House,0.661,81.3,3,0,17
380,Member 380,Republican,NY,House,0.09,100,29,0,1
381,Member 381,Republican,CT,House,0.471,92.7,34,0,34
382,Member 382,Democrat,SC,House,-0.726,95.3,21,0,11
383,Member 383,Democrat,KY,House,-0.264,94.4,34,2,10
384,Member 384,Republican,MS,House,0.249,88.5,19,0,24
385,Member 385,Democrat,NH,House,-0.174,88.4,27,0,26
386,Member 386,Republican,WI,House,0.807,85.5,32,0,7
387,Member 387,Democrat,NC,House,-0.474,94.5,10,0,40
388,Member 388,Republican,CT,House,-0.377,77.2,45,0,28
389,Member 389,Democrat,NC,House,-0.359,100,43,0,38
390,Member 390,Democrat,MO,House,-0.012,79.5,1,0,5
391,Member 391,Republican,NC,House,0.076,84.4,29,0,34
392,Member 392,Republican,WA,House,0.573,84.7,37,0,13
393,Member 393,Democrat,OK,House,-0.066,87.8,30,0,34
394,Member 394,Democrat,NH,House,-0.327,100,23,0,13
395,Member 395,Republican,MI,House,0.057,90.1,12,1,37
396,Member 396,Republican,IN,House,-0.379,81.9,21,0,29
397,Member 397,Republican,GA,House,0.218,84.2,7,1,36
398,Member 398,Republican,RI,House,-1.439,82,48,1,33
399,Member 399,Democrat,NE,House,-0.268,80.2,13,0,17
400,Member 400,Republican,SD,House,-0.054,80.9,36,0,7
401,Member 401,Republican,MI,House,0.5,96.6,26,0,6
402,Member 402,Republican,SD,House,-0.327,97.1,31,0,26
403,Member 403,Democrat,CO,House,0.021,90.6,15,0,21
404,Member 404,Republican,NV,House,-0.072,91.3,25,2,19
405,Member 405,Republican,NE,House,0.574,87.6,22,0,36
406,Member 406,Democrat,NY,House,-0.75,86.4,29,0,21
407,Member 407,Democrat,OH,House,-0.664,95.9,25,0,14
408,Member 408,Democrat,OR,House,-0.906,100,36,1,19
409,Member 409,Republican,WV,House,0.809,87.6,23,0,8
410,Member 410,Republican,AZ,House,-0.052,84.9,2,2,34
411,Member 411,Democrat,AK,House,-0.37,82.2,36,0,38
412,Member 412,Republican,NM,House,1.33,91.1,45,0,11
413,Member 413,Democrat,MN,House,-0.474,84.4,3,3,25
414,Member 414,Republican,PA,House,0.76,78.8,34,1,5
415,Member 415,Republican,IL,House,-0.443,86.8,23,0,35
416,Member 416,Republican,DE,House,1.107,94.5,33,0,15
417,Member 417,Republican,OR,House,0.285,88.9,12,0,5
418,Member 418,Republican,MS,House,-0.035,99.7,22,0,37
419,Member 419,Republican,AK,House,-0.351,97.3,47,0,5
420,Member 420,Republican,ND,House,1.054,89.7,43,2,25
421,Member 421,Republican,IL,House,0.244,77.1,43,1,3
422,Member 422,Democrat,NY,House,-0.474,98,16,0,6
423,Member 423,Democrat,TN,House,-0.736,79.7,30,0,36
424,Member 424,Democrat,WV,House,-0.345,88.4,34,0,23
425,Member 425,Republican,CA,House,-0.842,84.7,27,1,32
426,Member 426,Democrat,MS,House,0.318,82.5,6,1,5
427,Member 427,Democrat,NH,House,-0.955,84.2,45,0,3
428,Member 428,Republican,OR,House,0.465,91.1,21,0,35
429,Member 429,Republican,AR,House,0.918,93,3,0,37
430,Member 430,Republican,MA,House,0.876,92,22,3,20
431,Member 431,Democrat,MO,House,0.531,85.5,42,0,37
432,Member 432,Republican,UT,House,0.251,90,27,0,33
433,Member 433,Democrat,NV,House,-0.188,84.5,43,1,34
434,Member 434,Republican,IA,House,1.272,100,1,0,24
435,Member 435,Democrat,AR,House,-0.063,98.4,14,0,39
436,Member 436,Republican,IA,Senate,0.152,92.7,17,0,19
437,Member 437,Republican,FL,Senate,0.91,86.5,0,1,18
438,Member 438,Republican,PA,Senate,0.023,98.1,5,0,5
439,Member 439,Republican,NJ,Senate,0.864,92.4,15,0,19
440,Member 440,Democrat,TX,Senate,-0.728,77.3,7,0,39
441,Member 441,Democrat,MS,Senate,-0.551,97.4,48,0,25
442,Member 442,Democrat,TX,Senate,-0.807,93.6,48,3,34
443,Member 443,Republican,IL,Senate,-0.268,91,27,1,40
444,Member 444,Republican,WA,Senate,0.079,89.1,37,0,19
445,Member 445,Democrat,AZ,Senate,-0.346,85.5,36,1,31
446,Member 446,Republican,PA,Senate,0.018,91.3,33,0,34
447,Member 447,Democrat,MD,Senate,-0.092,94,1,1,23
448,Member 448,Democrat,NV,Senate,-1.231,100,38,0,29
449,Member 449,Republican,WI,Senate,0.034,87.8,7,0,24
450,Member 450,Republican,SC,Senate,0.705,99.4,43,0,28
451,Member 451,Republican,RI,Senate,-0.982,90.5,1,0,2
452,Member 452,Republican,MA,Senate,0.154,89,33,0,12
453,Member 453,Democrat,NC,Senate,-0.923,91.8,40,0,24
454,Member 454,Democrat,LA,Senate,0.184,71.6,48,0,35
455,Member 455,Democrat,AK,Senate,-0.731,83.5,11,0,4
456,Member 456,Democrat,OH,Senate,-0.47,100,14,0,36
457,Member 457,Democrat,NJ,Senate,-0.319,91,31,0,38
458,Member 458,Republican,MS,Senate,0.197,93.4,19,0,16
459,Member 459,Democrat,MS,Senate,-0.98,100,47,0,22
460,Member 460,Democrat,VA,Senate,-0.366,89.6,28,1,1
461,Member 461,Democrat,AK,Senate,-0.012,78.8,24,0,13
462,Member 462,Democrat,CO,Senate,-0.84,86.6,48,0,11
463,Member 463,Republican,WV,Senate,-0.126,83.7,25,0,35
464,Member 464,Democrat,VT,Senate,-0.102,93,21,0,5
465,Member 465,Democrat,CT,Senate,-0.494,93,29,2,11
466,Member 466,Republican,GA,Senate,0.584,100,23,0,25
467,Member 467,Republican,PA,Senate,0.366,97.1,22,0,14
468,Member 468,Democrat,NV,Senate,-0.243,76.6,11,0,34
469,Member 469,Republican,VT,Senate,0.303,89.4,2,1,13
470,Member 470,Democrat,IA,Senate,-0.425,97,48,0,12
471,Member 471,Republican,MT,Senate,0.257,100,45,1,11
472,Member 472,Republican,IL,Senate,0.933,100,0,0,35
473,Member 473,Republican,KY,Senate,0.889,99.8,14,0,9
474,Member 474,Democrat,RI,Senate,-0.902,86,17,0,22
475,Member 475,Republican,CA,Senate,1.485,100,37,0,31
476,Member 476,Republican,OR,Senate,0.682,95.6,20,0,13
477,Member 477,Democrat,NE,Senate,-1.299,87.1,31,0,37
478,Member 478,Republican,UT,Senate,0.032,86.2,16,1,22
479,Member 479,Democrat,AL,Senate,-0.591,94.6,4,0,1
480,Member 480,Democrat,TN,Senate,-0.944,81,17,0,23
481,Member 481,Democrat,AL,Senate,-0.202,73.7,16,0,24
482,Member 482,Republican,OR,Senate,1.364,100,41,0,15
483,Member 483,Republican,GA,Senate,1.015,89.7,1,0,35
484,Member 484,Republican,VA,Senate,1.155,96,35,2,24
485,Member 485,Republican,WI,Senate,1.063,99.6,40,1,36
486,Member 486,Republican,ND,Senate,0.308,100,3,2,33
487,Member 487,Democrat,CA,Senate,0.099,92.7,1,0,29
488,Member 488,Democrat,KS,Senate,0.424,98.5,4,0,17
489,Member 489,Democrat,IA,Senate,0.098,83.5,37,0,3
490,Member 490,Democrat,ME,Senate,-0.987,83.9,39,0,39
491,Member 491,Republican,CA,Senate,0.115,88,9,0,7
492,Member 492,Democrat,ID,Senate,0.719,85,8,0,5
493,Member 493,Democrat,UT,Senate,-0.055,99.2,12,0,32
494,Member 494,Republican,NV,Senate,0.072,89.9,38,3,13
495,Member 495,Republican,NV,Senate,0.802,84.6,9,0,23
496,Member 496,Republican,SC,Senate,0.633,98.9,44,0,6
497,Member 497,Republican,GA,Senate,0.375,90.1,17,0,20
498,Member 498,Democrat,DE,Senate,-0.357,79.6,46,0,9
499,Member 499,Republican,VT,Senate,0.397,87,8,0,18
500,Member 500,Democrat,OH,Senate,-0.662,86.7,20,0,28
501,Member 501,Democrat,ME,Senate,0.874,91.6,29,0,5
502,Member 502,Republican,AZ,Senate,0.543,89,22,1,1
503,Member 503,Republican,KS,Senate,0.394,88.4,33,0,12
504,Member 504,Democrat,AR,Senate,0.568,94.8,25,0,30
505,Member 505,Democrat,IL,Senate,0.009,94.2,31,0,10
506,Member 506,Democrat,LA,Senate,-1.108,100,48,1,14
507,Member 507,Democrat,CA,Senate,-0.731,86.5,26,1,20
508,Member 508,Democrat,VT,Senate,-0.465,95.4,0,0,32
509,Member 509,Republican,MD,Senate,-0.026,94.4,29,0,9
510,Member 510,Republican,CT,Senate,1.229,98.7,8,0,3
511,Member 511,Democrat,ME,Senate,0.183,81.3,47,0,9
512,Member 512,Republican,NH,Senate,0.301,75.2,47,0,5
513,Member 513,Republican,TX,Senate,0.615,94.9,45,0,22
514,Member 514,Democrat,AR,Senate,-0.916,93.1,0,0,18
515,Member 515,Republican,MS,Senate,0.345,90.2,44,0,30
516,Member 516,Democrat,WI,Senate,-0.321,83.9,21,0,21
517,Member 517,Democrat,AK,Senate,-0.648,100,21,0,23
518,Member 518,Republican,WY,Senate,0.156,87.3,22,0,24
519,Member 519,Democrat,OR,Senate,0.286,96.2,20,2,5
520,Member 520,Republican,CA,Senate,-0.469,97.9,28,0,40
521,Member 521,Republican,NC,Senate,0.762,95.1,16,0,40
522,Member 522,Republican,ND,Senate,0.421,91.3,47,0,38
523,Member 523,Republican,CO,Senate,0.338,89.9,41,0,16
524,Member 524,Democrat,AK,Senate,-0.591,100,34,0,35
525,Member 525,Republican,UT,Senate,0.834,89.6,34,1,7
526,Member 526,Democrat,OR,Senate,-0.287,95.3,36,0,22
527,Member 527,Republican,IA,Senate,0.93,99.6,33,1,21
528,Member 528,Democrat,PA,Senate,-0.48,84.4,32,0,26
529,Member 529,Democrat,IA,Senate,-0.039,100,39,0,14
530,Member 530,Democrat,VT,Senate,-0.52,89,45,0,12
531,Member 531,Democrat,MS,Senate,-0.336,95,26,1,27
532,Member 532,Democrat,RI,Senate,0.134,93.3,11,1,40
533,Member 533,Democrat,OK,Senate,-0.314,91.6,28,2,2
534,Member 534,Republican,AR,Senate,-0.186,75,1,0,31
535,Member 535,Democrat,PA,Senate,0.299,94.1,47,0,23
